district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
中和區,房地(土地+建物),新北市中和區中和路４０４號三樓,34.69,商,,,1111227,土地2建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690105,124,3,2,2,有,無,9500000,76613,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKJHIGFHF28EA,124,0,0,無
中和區,房地(土地+建物),新北市中和區南山路２９８巷３弄２號二樓,31.22,住,,,1111209,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ造,700518,101.36,3,2,1,有,無,10000000,98658,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQKJHIGFHF38EA,74.85,0,26.51,無
中和區,車位,新北市中和區中山路二段２９９、３０１號及其附號；３０３、３０５號及其附號，共計８８２戶之地下一層、地下二層,1.05,工,,,1111226,土地1建物1車位1,地下一層，地下二層,十二層,其他,停車空間,鋼筋混凝土造,970114,18.94,0,0,0,有,有,1300000,,坡道機械,18.94,1300000,僅車位交易；,RPPNMLMJJHIGFHF67DA,0,0,0,有
中和區,車位,新北市中和區中山路二段２９９、３０１號及其附號；３０３、３０５號及其附號，共計８８２戶之地下一層、地下二層,1.05,工,,,1111227,土地1建物1車位1,地下一層，地下二層,十二層,其他,停車空間,鋼筋混凝土造,970114,18.94,0,0,0,有,有,1100000,,坡道機械,18.94,1100000,僅車位交易；,RPQNMLMJJHIGFHF77DA,0,0,0,有
中和區,土地,三民段3-1地號,0.32,都市：其他:人行步道,,,1111222,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,24250,0,,0,0,包含公共設施保留地用地；,RPUOMLPLKIHGFHF88DA,0,0,0,無
中和區,土地,員山段862地號,0.02,,,,1111222,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,526,0,,0,0,包含公共設施保留地用地；,SPUOMLPLKIHGFHF98DA,0,0,0,無
中和區,土地,三民段3-1地號,0.54,都市：其他:人行步道,,,1111219,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,40500,0,,0,0,包含公共設施保留地用地；,RPPPMLPLKIHGFHF48DA,0,0,0,無
中和區,土地,三民段3-1地號,0.54,都市：其他:人行步道,,,1111219,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,40500,0,,0,0,包含公共設施保留地用地；,RPRPMLPLKIHGFHF68DA,0,0,0,無
中和區,土地,三民段3-1地號,0.64,都市：其他:人行步道,,,1111214,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,48750,0,,0,0,包含公共設施保留地用地；,RPTPMLPLKIHGFHF88DA,0,0,0,無
中和區,土地,員山段862地號,0.04,,,,1111214,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1071,0,,0,0,包含公共設施保留地用地；,SPTPMLPLKIHGFHF98DA,0,0,0,無
中和區,土地,三民段3-1地號,1.07,都市：其他:人行步道,,,1111221,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,81000,75701,,0,0,包含公共設施保留地用地；,RPVPMLPLKIHGFHF09DA,0,0,0,無
中和區,土地,員山段862地號,0.07,,,,1111221,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1746,0,,0,0,包含公共設施保留地用地；,SPVPMLPLKIHGFHF56DA,0,0,0,無
中和區,土地,員山段318-2地號,0.15,都市：其他:人行步道,,,1111221,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,11500,0,,0,0,包含公共設施保留地用地；,RPPQMLPLKIHGFHF58DA,0,0,0,無
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷１７號十樓,18.4,工,,,1111213,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,1060118,154.06,0,0,0,無,有,17780000,129069,坡道平面,30.25,1800000,,RPVQMLMKJHIGFHF68DA,59.92,0,18.82,有
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷５３號十一樓,19.65,工,,,1111217,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土構造,1060118,170.46,0,0,0,無,有,19550000,128205,坡道平面,33.57,2000000,,RPWQMLMKJHIGFHF78DA,70.96,6.84,7.43,有
中和區,房地(土地+建物),新北市中和區信義街２之５號三樓,19.83,住,,,1111212,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,730907,81.75,3,2,2,有,無,11200000,137003,,0,0,陽台外推；,RPURMLNKJHIGFHF78DA,74.17,0,7.58,無
中和區,房地(土地+建物),新北市中和區景安路２４７巷１３號五樓,30.01,住,,,1111210,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,751210,103.99,3,2,2,有,無,13350000,128378,,0,0,陽台外推；頂樓加蓋；其他增建；,RPWRMLNKJHIGFHF98DA,87.19,0,10.44,無
中和區,房地(土地+建物),新北市中和區忠孝街５８巷３０弄５號二樓,48.54,住,,,1111204,土地3建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690724,79.8,2,2,1,有,無,8160000,102256,,0,0,,RPSNMLOKJHIGFHF28DA,79.8,0,0,無
中和區,房地(土地+建物),新北市中和區景平路７０３巷２弄１０號五樓,21.44,商,,,1111217,土地4建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680117,83.04,3,2,1,有,無,9500000,114403,,0,0,陽台外推；頂樓加蓋；,RPPNMLQKJHIGFHF18DA,83.04,0,0,無
中和區,房地(土地+建物)+車位,新北市中和區圓通路２９９巷２４號三樓,28.34,住,,,1111210,土地2建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971007,165.37,4,2,3,有,有,19360000,117071,坡道機械,11.8,0,,RPQQMLQKJHIGFHF58DA,94.2,1.72,7.97,有
中和區,房地(土地+建物),新北市中和區連城路６５巷１３號五樓,26.8,住,,,1111223,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710623,91.02,3,2,1,有,無,4100000,45045,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLMKJHIGFHF68DA,74.42,8.4,8.2,無
