鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,道路名稱,段,分類標籤,Lat,Lng
中和區,房地(土地+建物),新北市中和區莊敬路３３巷３４弄１１號三樓,29.51,住,,,2023-01-11,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,Ｒ．Ｃ造,1976-08-31,88.55,2,2,1,有,無,12000000,135517.0,,0.0,0,,RPXPMLKMJHIGFHF78DA,88.55,0.0,0.0,無,新北市中和區莊敬路,,新北市中和區莊敬路,25.0061154,121.5004621
中和區,房地(土地+建物)+車位,新北市中和區景平路２６８號二十一樓之十,5.44,住,,,2023-01-08,土地1建物1車位1,二十一層,三十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,2000-05-29,104.52,1,1,1,有,有,12700000,121508.0,坡道平面,0.0,0,陽台外推；,RPXQMLMJKHIGFHF88DA,81.65,0.0,7.98,有,新北市中和區景平路,,新北市中和區景平路,24.9925976,121.5145202
中和區,房地(土地+建物),新北市中和區國光街８巷４號三樓,19.12,住,,,2023-01-04,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1979-10-04,74.72,3,1,1,有,無,7400000,99036.0,,0.0,0,,RPVQMLMJKHIGFHF68DA,74.72,0.0,0.0,無,新北市中和區國光街,,新北市中和區國光街,25.0004426,121.4717646
中和區,房地(土地+建物),新北市中和區景新街３３５之１號二十八樓,4.44,商,,,2023-01-01,土地1建物1車位0,二十八層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,2022-02-24,62.8,1,2,1,有,有,12250000,195064.0,,0.0,0,,RPUQMLQJKHIGFHF98DA,35.49,1.54,5.06,有,新北市中和區景新街,,新北市中和區景新街,24.9912696,121.5121118
中和區,房地(土地+建物),新北市中和區興南路二段３４巷１號四樓,27.48,住,,,2023-01-05,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,1975-07-04,94.09,3,2,1,有,無,11000000,116909.0,,0.0,0,,RPQQMLOJKHIGFHF38DA,94.09,0.0,0.0,無,新北市中和區興南路,新北市中和區興南路二段,新北市中和區興南路二段,24.9865483,121.505367
中和區,房地(土地+建物)+車位,新北市中和區新生街２號二樓,34.52,住,,,2023-01-05,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1993-03-25,211.66,4,2,2,有,有,23500000,111027.0,坡道平面,0.0,0,後陽台外推其他增建；,RPVQMLNJKHIGFHF78DA,132.05,1.14,9.99,有,新北市中和區新生街,,新北市中和區新生街,25.0045444,121.4835188
中和區,房地(土地+建物),新北市中和區員山路１４６巷９號四樓,26.06,住,,,2023-01-09,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1978-11-20,70.8,2,2,1,有,無,10000000,141243.0,,0.0,0,,RPOSMLQJKHIGFHF58DA,70.8,0.0,0.0,無,新北市中和區員山路,,新北市中和區員山路,24.9969346,121.4813574
中和區,房地(土地+建物),新北市中和區立人街１４巷４０弄２６號二樓,33.47,住,,,2023-01-16,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,1971-08-19,59.54,3,1,1,有,無,8600000,144441.0,,0.0,0,,RPQNMLRJKHIGFHF48EA,59.54,0.0,0.0,無,新北市中和區立人街,,新北市中和區立人街,24.9958482,121.5192702
中和區,房地(土地+建物),新北市中和區大勇街３１巷１７號,20.19,住,,,2023-01-06,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1974-11-27,54.0,2,2,1,有,無,9000000,166667.0,,0.0,0,,RPPQMLQJKHIGFHF48DA,48.0,0.0,6.0,無,新北市中和區大勇街,,新北市中和區大勇街,24.994438,121.516944
中和區,房地(土地+建物),新北市中和區景德街３０號十二樓之二,4.67,住,,,2023-01-19,土地1建物1車位0,十二層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1997-11-04,67.02,2,2,1,有,有,10250000,152939.0,,0.0,0,陽台外推；其他增建；,RPQQMLNJKHIGFHF28DA,41.56,2.08,9.56,有,新北市中和區景德街,,新北市中和區景德街,24.991486,121.5182085
中和區,房地(土地+建物),新北市中和區秀峰街５４號三樓,28.32,住,,,2023-01-10,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1980-02-07,101.53,5,3,3,有,無,14800000,145770.0,,0.0,0,,RPWPMLSJKHIGFHF66DA,93.63,0.0,0.0,無,新北市中和區秀峰街,,新北市中和區秀峰街,24.990387,121.5209985
中和區,房地(土地+建物)+車位,新北市中和區景新街３４５號五樓之二,8.2,商,,,2023-01-08,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,2010-01-06,118.95,2,2,1,有,有,17250000,145019.0,塔式車位,0.0,0,,RPVQMLRJKHIGFHF56DA,55.75,5.66,5.67,有,新北市中和區景新街,,新北市中和區景新街,24.9911385,121.5119689
中和區,房地(土地+建物),新北市中和區景平路１８８號二十樓之二,2.54,都市：其他:住宅區,,,2022-12-26,土地4建物1車位0,二十層,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1997-11-04,44.31,1,1,1,有,有,6650000,150079.0,,0.0,0,,RPSUMLQLKIHGFHF76DA,29.3,0.0,5.04,有,新北市中和區景平路,,新北市中和區景平路,24.9923771,121.5165815
中和區,房地(土地+建物)+車位,新北市中和區忠孝街２巷８之１１號五樓,21.79,住,,,2022-12-22,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,2010-07-13,195.49,4,2,2,有,有,27600000,148347.0,坡道平面,24.27,2200000,陽台外推；,RPXPMLPJJHIGFHF98DA,103.28,6.51,10.16,有,新北市中和區忠孝街,,新北市中和區忠孝街,24.9819063,121.5103231
